Force (kgs),Input Signal
0.0001,0
-0.0001,0
0.0001,0
-0.0000,0
0.0000,0
0.0001,0
0.0001,0
-0.0001,0
0.0001,0
0.0001,0
-0.0000,0
-0.0001,0
0.0000,0
0.0001,0
-0.0001,0
-0.0001,0
0.0002,0
-0.0000,0
0.0002,0
0.0001,0
0.0001,0
0.0001,0
0.0000,0
0.0001,0
-0.0000,0
-0.0001,0
0.0002,0
0.0000,0
0.0001,0
0.0000,0
-0.0001,0
-0.0001,0
-0.0000,0
0.0001,0
-0.0000,0
0.0001,0
-0.0001,0
-0.0001,0
0.0001,0
0.0000,0
-0.0000,0
0.0003,0
0.0000,0
-0.0001,0
0.0001,0
-0.0000,0
0.0001,0
0.0002,0
0.0001,0
0.0000,0
0.0000,0
0.0001,0
-0.0001,0
-0.0001,0
0.0001,0
-0.0001,0
0.0001,0
0.0000,0
-0.0001,0
0.0001,0
0.0001,0
0.0000,0
0.0000,0
0.0001,0
0.0001,0
0.0001,0
0.0000,0
0.0002,0
0.0000,0
0.0001,0
0.0002,0
0.0000,0
-0.0000,0
0.0001,0
0.0002,0
0.0001,0
0.0001,0
-0.0000,0
0.0002,0
0.0000,0
-0.0001,0
0.0002,0
0.0002,0
0.0001,0
0.0001,0
-0.0000,0
0.0001,0
0.0001,0
-0.0000,0
0.0000,0
0.0000,0
-0.0000,0
-0.0000,0
0.0002,0
0.0000,0
-0.0001,0
0.0001,0
0.0001,0
0.0001,0
0.0000,0
0.0001,0
-0.0001,0
0.0001,0
0.0002,0
0.0001,0
-0.0000,0
-0.0001,0
-0.0000,0
0.0002,0
0.0001,0
0.0001,0
0.0003,0
0.0001,0
0.0000,0
0.0000,0
0.0001,0
-0.0000,0
0.0001,0
0.0000,0
0.0000,0
0.0000,0
0.0002,1
0.0002,1
0.0003,1
0.0004,1
0.0004,1
0.0003,1
0.0007,1
0.0008,1
0.0007,1
0.0009,1
0.0009,1
0.0011,1
0.0010,1
0.0013,1
0.0012,1
0.0013,1
0.0015,1
0.0016,1
0.0016,1
0.0018,1
0.0018,1
0.0018,1
0.0019,1
0.0021,1
0.0022,1
0.0022,1
0.0024,1
0.0025,1
0.0028,1
0.0026,1
0.0028,1
0.0028,1
0.0028,1
0.0030,1
0.0029,1
0.0031,1
0.0032,1
0.0033,1
0.0034,1
0.0036,1
0.0034,1
0.0038,1
0.0038,1
0.0038,1
0.0040,1
0.0039,1
0.0039,1
0.0040,1
0.0039,1
0.0041,1
0.0040,1
0.0039,1
0.0040,1
0.0040,1
0.0040,1
0.0041,1
0.0042,1
0.0042,1
0.0042,1
0.0043,1
0.0042,1
0.0044,1
0.0043,1
0.0041,1
0.0043,1
0.0043,1
0.0042,1
0.0042,1
0.0041,1
0.0041,1
0.0042,1
0.0042,1
0.0043,1
0.0041,1
0.0043,1
0.0042,1
0.0044,1
0.0045,1
0.0046,1
0.0044,1
0.0046,1
0.0046,1
0.0047,1
0.0047,1
0.0047,1
0.0047,1
0.0048,1
0.0046,1
0.0047,1
0.0048,1
0.0046,1
0.0047,1
0.0046,1
0.0046,1
0.0046,1
0.0047,1
0.0047,1
0.0046,1
0.0047,1
0.0048,1
0.0049,1
0.0049,1
0.0049,1
0.0050,1
0.0048,1
0.0050,1
0.0049,1
0.0050,1
0.0049,1
0.0048,1
0.0048,1
0.0049,1
0.0049,1
0.0048,1
0.0049,1
0.0050,1
0.0051,1
0.0048,1
0.0050,1
0.0049,1
0.0050,1
0.0049,1
0.0050,1
0.0049,1
0.0050,1
0.0049,1
0.0048,1
0.0047,1
0.0046,1
0.0045,1
0.0043,1
0.0043,1
0.0042,1
0.0042,1
0.0042,1
0.0042,1
0.0044,1
0.0043,1
0.0045,1
0.0045,1
0.0045,1
0.0045,1
0.0044,1
0.0045,1
0.0044,1
0.0045,1
0.0046,1
0.0045,1
0.0046,1
0.0046,0
0.0045,0
0.0041,0
0.0035,0
0.0028,0
0.0026,0
0.0023,0
0.0020,0
0.0015,0
0.0016,0
0.0014,0
0.0012,0
0.0010,0
0.0010,0
0.0009,0
0.0009,0
0.0008,0
0.0008,0
0.0007,0
0.0006,0
0.0004,0
0.0004,0
0.0005,0
0.0004,0
0.0004,0
0.0003,0
0.0003,0
0.0003,0
0.0002,0
0.0002,0
0.0003,0
0.0002,0
0.0000,0
0.0002,0
0.0001,0
0.0001,0
0.0001,0
0.0002,0
-0.0000,0
0.0001,0
0.0001,0
0.0000,0
0.0001,0
0.0001,0
0.0002,0
0.0001,0
-0.0001,0
0.0001,0
-0.0001,0
0.0000,0
-0.0000,0
0.0001,0
-0.0001,0
-0.0001,0
0.0001,0
0.0001,0
0.0000,0
0.0001,0
-0.0000,0
0.0000,0
0.0000,0
-0.0000,0
-0.0000,0
-0.0001,0
-0.0000,0
-0.0001,0
0.0001,0
0.0001,0
-0.0001,0
0.0001,0
-0.0000,0
0.0001,0
-0.0001,0
-0.0002,0
-0.0001,0
-0.0001,0
-0.0000,0
0.0000,0
0.0000,0
